window_start,window_end,total_count,positive_count,positive_rate,baseline_positive_rate,absolute_change,relative_change,label_drift_detected
2019-05-06,2019-07-05,217,4,0.018433179723502304,0.02563580874872838,-0.007202629025226077,-0.28095969570623947,False
2019-05-09,2019-07-08,207,4,0.01932367149758454,0.02563580874872838,-0.006312137251143841,-0.24622344912199984,False
2019-05-10,2019-07-09,207,3,0.014492753623188406,0.02563580874872838,-0.011143055125539975,-0.43466758684149986,False
2019-05-11,2019-07-10,207,3,0.014492753623188406,0.02563580874872838,-0.011143055125539975,-0.43466758684149986,False
2019-05-12,2019-07-11,212,4,0.018867924528301886,0.02563580874872838,-0.006767884220426495,-0.2640011979634621,False
2019-05-13,2019-07-12,217,4,0.018433179723502304,0.02563580874872838,-0.007202629025226077,-0.28095969570623947,False
2019-05-16,2019-07-15,207,3,0.014492753623188406,0.02563580874872838,-0.011143055125539975,-0.43466758684149986,False
2019-05-17,2019-07-16,207,3,0.014492753623188406,0.02563580874872838,-0.011143055125539975,-0.43466758684149986,False
2019-05-18,2019-07-17,207,3,0.014492753623188406,0.02563580874872838,-0.011143055125539975,-0.43466758684149986,False
2019-05-19,2019-07-18,212,3,0.014150943396226415,0.02563580874872838,-0.011484865352501965,-0.44800089847259655,False
2019-05-20,2019-07-19,217,4,0.018433179723502304,0.02563580874872838,-0.007202629025226077,-0.28095969570623947,False
2019-05-23,2019-07-22,207,3,0.014492753623188406,0.02563580874872838,-0.011143055125539975,-0.43466758684149986,False
2019-05-24,2019-07-23,207,3,0.014492753623188406,0.02563580874872838,-0.011143055125539975,-0.43466758684149986,False
2019-05-25,2019-07-24,207,3,0.014492753623188406,0.02563580874872838,-0.011143055125539975,-0.43466758684149986,False
2019-05-26,2019-07-25,212,3,0.014150943396226415,0.02563580874872838,-0.011484865352501965,-0.44800089847259655,False
2019-05-27,2019-07-26,217,3,0.013824884792626729,0.02563580874872838,-0.011810923956101652,-0.46071977177967954,False
2019-05-30,2019-07-29,211,3,0.014218009478672985,0.02563580874872838,-0.011417799270055396,-0.4453847889866847,False
2019-05-31,2019-07-30,211,3,0.014218009478672985,0.02563580874872838,-0.011417799270055396,-0.4453847889866847,False
2019-06-01,2019-07-31,211,4,0.018957345971563982,0.02563580874872838,-0.006678462777164398,-0.26051305198224617,False
2019-06-02,2019-08-01,216,4,0.018518518518518517,0.02563580874872838,-0.007117290230209863,-0.2776308054085832,False
2019-06-03,2019-08-02,221,5,0.02262443438914027,0.02563580874872838,-0.00301137435958811,-0.11746749982044097,False
2019-06-06,2019-08-05,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-06-07,2019-08-06,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-06-08,2019-08-07,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-06-09,2019-08-08,216,6,0.027777777777777776,0.02563580874872838,0.0021419690290493953,0.08355379188712522,False
2019-06-10,2019-08-09,221,6,0.027149321266968326,0.02563580874872838,0.0015135125182399456,0.0590390002154709,False
2019-06-13,2019-08-12,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-06-14,2019-08-13,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-06-15,2019-08-14,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-06-16,2019-08-15,216,6,0.027777777777777776,0.02563580874872838,0.0021419690290493953,0.08355379188712522,False
2019-06-17,2019-08-16,221,6,0.027149321266968326,0.02563580874872838,0.0015135125182399456,0.0590390002154709,False
2019-06-20,2019-08-19,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-06-21,2019-08-20,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-06-22,2019-08-21,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-06-23,2019-08-22,216,7,0.032407407407407406,0.02563580874872838,0.006771598658679025,0.26414609053497945,False
2019-06-24,2019-08-23,221,7,0.03167420814479638,0.02563580874872838,0.006038399396067998,0.23554550025138263,False
2019-06-27,2019-08-26,211,7,0.03317535545023697,0.02563580874872838,0.0075395467015085885,0.2941021590310692,False
2019-06-28,2019-08-27,211,7,0.03317535545023697,0.02563580874872838,0.0075395467015085885,0.2941021590310692,False
2019-06-29,2019-08-28,211,7,0.03317535545023697,0.02563580874872838,0.0075395467015085885,0.2941021590310692,False
2019-06-30,2019-08-29,216,7,0.032407407407407406,0.02563580874872838,0.006771598658679025,0.26414609053497945,False
2019-07-01,2019-08-30,221,7,0.03167420814479638,0.02563580874872838,0.006038399396067998,0.23554550025138263,False
2019-07-04,2019-09-02,207,7,0.033816425120772944,0.02563580874872838,0.008180616372044563,0.31910896403650024,False
2019-07-05,2019-09-03,211,7,0.03317535545023697,0.02563580874872838,0.0075395467015085885,0.2941021590310692,False
2019-07-06,2019-09-04,211,7,0.03317535545023697,0.02563580874872838,0.0075395467015085885,0.2941021590310692,False
2019-07-07,2019-09-05,216,7,0.032407407407407406,0.02563580874872838,0.006771598658679025,0.26414609053497945,False
2019-07-08,2019-09-06,221,7,0.03167420814479638,0.02563580874872838,0.006038399396067998,0.23554550025138263,False
2019-07-11,2019-09-09,211,7,0.03317535545023697,0.02563580874872838,0.0075395467015085885,0.2941021590310692,False
2019-07-12,2019-09-10,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
