detection_date,event_type,severity,variable,message
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-06 00:00:00 and 2020-09-04 00:00:00: positive rate=0.0400, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-09 00:00:00 and 2020-09-07 00:00:00: positive rate=0.0427, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-10 00:00:00 and 2020-09-08 00:00:00: positive rate=0.0427, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-11 00:00:00 and 2020-09-09 00:00:00: positive rate=0.0427, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-12 00:00:00 and 2020-09-10 00:00:00: positive rate=0.0417, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-13 00:00:00 and 2020-09-11 00:00:00: positive rate=0.0407, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-16 00:00:00 and 2020-09-14 00:00:00: positive rate=0.0427, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-17 00:00:00 and 2020-09-15 00:00:00: positive rate=0.0427, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-18 00:00:00 and 2020-09-16 00:00:00: positive rate=0.0427, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-19 00:00:00 and 2020-09-17 00:00:00: positive rate=0.0417, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-20 00:00:00 and 2020-09-18 00:00:00: positive rate=0.0407, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-23 00:00:00 and 2020-09-21 00:00:00: positive rate=0.0427, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-24 00:00:00 and 2020-09-22 00:00:00: positive rate=0.0474, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-25 00:00:00 and 2020-09-23 00:00:00: positive rate=0.0474, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-26 00:00:00 and 2020-09-24 00:00:00: positive rate=0.0463, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-27 00:00:00 and 2020-09-25 00:00:00: positive rate=0.0452, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-30 00:00:00 and 2020-09-28 00:00:00: positive rate=0.0474, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-31 00:00:00 and 2020-09-29 00:00:00: positive rate=0.0474, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-01 00:00:00 and 2020-09-30 00:00:00: positive rate=0.0427, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-02 00:00:00 and 2020-10-01 00:00:00: positive rate=0.0417, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-03 00:00:00 and 2020-10-02 00:00:00: positive rate=0.0407, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-10 00:00:00 and 2020-10-09 00:00:00: positive rate=0.0407, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-13 00:00:00 and 2020-10-12 00:00:00: positive rate=0.0427, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-15 00:00:00 and 2020-10-14 00:00:00: positive rate=0.0427, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-16 00:00:00 and 2020-10-15 00:00:00: positive rate=0.0417, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-17 00:00:00 and 2020-10-16 00:00:00: positive rate=0.0452, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-20 00:00:00 and 2020-10-19 00:00:00: positive rate=0.0521, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-21 00:00:00 and 2020-10-20 00:00:00: positive rate=0.0521, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-22 00:00:00 and 2020-10-21 00:00:00: positive rate=0.0521, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-23 00:00:00 and 2020-10-22 00:00:00: positive rate=0.0509, baseline=0.0256"
